Zonas  Turísticas;Periodo;Total
Andalucía: Costa De La Luz De Cádiz;2018M11;4,84
Andalucía: Costa De La Luz De Cádiz;2018M10;3,21
Andalucía: Costa De La Luz De Cádiz;2018M09;3,39
Andalucía: Costa De La Luz De Cádiz;2018M08;4,12
Andalucía: Costa De La Luz De Cádiz;2018M07;3,39
Andalucía: Costa De La Luz De Cádiz;2018M06;3,1
Andalucía: Costa De La Luz De Cádiz;2018M05;2,95
Andalucía: Costa De La Luz De Cádiz;2018M04;3,65
Andalucía: Costa De La Luz De Cádiz;2018M03;4,52
Andalucía: Costa De La Luz De Cádiz;2018M02;6,24
Andalucía: Costa De La Luz De Cádiz;2018M01;6,87
Andalucía: Costa De La Luz De Cádiz;2017M12;6,23
Andalucía: Costa De La Luz De Cádiz;2017M11;4,61
Andalucía: Costa De La Luz De Cádiz;2017M10;3,75
Andalucía: Costa De La Luz De Cádiz;2017M09;3,33
Andalucía: Costa De La Luz De Cádiz;2017M08;4,04
Andalucía: Costa De La Luz De Cádiz;2017M07;3,56
Andalucía: Costa De La Luz De Cádiz;2017M06;2,89
Andalucía: Costa De La Luz De Cádiz;2017M05;2,55
Andalucía: Costa De La Luz De Cádiz;2017M04;3,14
Andalucía: Costa De La Luz De Cádiz;2017M03;5,36
Andalucía: Costa De La Luz De Cádiz;2017M02;5,89
Andalucía: Costa De La Luz De Cádiz;2017M01;7,55
Andalucía: Costa De La Luz De Cádiz;2016M12;6,26
Andalucía: Costa De La Luz De Cádiz;2016M11;4,99
Andalucía: Costa De La Luz De Cádiz;2016M10;3,37
Andalucía: Costa De La Luz De Cádiz;2016M09;3,36
Andalucía: Costa De La Luz De Cádiz;2016M08;4,13
Andalucía: Costa De La Luz De Cádiz;2016M07;3,51
Andalucía: Costa De La Luz De Cádiz;2016M06;2,79
Andalucía: Costa De La Luz De Cádiz;2016M05;3,11
Andalucía: Costa De La Luz De Cádiz;2016M04;2,81
Andalucía: Costa De La Luz De Cádiz;2016M03;3,81
Andalucía: Costa De La Luz De Cádiz;2016M02;5,6
Andalucía: Costa De La Luz De Cádiz;2016M01;6,91
Andalucía: Costa De La Luz De Cádiz;2015M12;6,23
Andalucía: Costa De La Luz De Cádiz;2015M11;5,02
Andalucía: Costa De La Luz De Cádiz;2015M10;3,48
Andalucía: Costa De La Luz De Cádiz;2015M09;3,17
Andalucía: Costa De La Luz De Cádiz;2015M08;3,82
Andalucía: Costa De La Luz De Cádiz;2015M07;3,42
Andalucía: Costa De La Luz De Cádiz;2015M06;2,91
Andalucía: Costa De La Luz De Cádiz;2015M05;2,73
Andalucía: Costa De La Luz De Cádiz;2015M04;3,15
Andalucía: Costa De La Luz De Cádiz;2015M03;4,47
Andalucía: Costa De La Luz De Cádiz;2015M02;5,48
Andalucía: Costa De La Luz De Cádiz;2015M01;7,6
Andalucía: Costa De La Luz De Cádiz;2014M12;7,32
